"Var1","Freq","cond.prob","prior"
"aaa",1,0.000111080255484588,0.159598214285714
"aarp",1,0.000111080255484588,0.159598214285714
"abbott",2,0.000166620383226881,0.159598214285714
"abc",1,0.000111080255484588,0.159598214285714
"abide",1,0.000111080255484588,0.159598214285714
"ability",4,0.000277700638711469,0.159598214285714
"abolishing",1,0.000111080255484588,0.159598214285714
"aborted",1,0.000111080255484588,0.159598214285714
"abortion",12,0.000722021660649819,0.159598214285714
"abortions",5,0.000333240766453763,0.159598214285714
"absent",1,0.000111080255484588,0.159598214285714
"absolutely",2,0.000166620383226881,0.159598214285714
"absorbed",1,0.000111080255484588,0.159598214285714
"abused",1,0.000111080255484588,0.159598214285714
"abusers",1,0.000111080255484588,0.159598214285714
"academic",1,0.000111080255484588,0.159598214285714
"academy",1,0.000111080255484588,0.159598214285714
"acalifornia",1,0.000111080255484588,0.159598214285714
"accept",1,0.000111080255484588,0.159598214285714
"acceptance",1,0.000111080255484588,0.159598214285714
"accepted",1,0.000111080255484588,0.159598214285714
"accepting",1,0.000111080255484588,0.159598214285714
"acceptingforeign",1,0.000111080255484588,0.159598214285714
"access",3,0.000222160510969175,0.159598214285714
"accommodation",1,0.000111080255484588,0.159598214285714
"account",2,0.000166620383226881,0.159598214285714
"accountability",2,0.000166620383226881,0.159598214285714
"accounts",1,0.000111080255484588,0.159598214285714
"accused",1,0.000111080255484588,0.159598214285714
"achievement",1,0.000111080255484588,0.159598214285714
"achievements",1,0.000111080255484588,0.159598214285714
"acting",3,0.000222160510969175,0.159598214285714
"action",4,0.000277700638711469,0.159598214285714
"actions",2,0.000166620383226881,0.159598214285714
"active",1,0.000111080255484588,0.159598214285714
"activists",1,0.000111080255484588,0.159598214285714
"activity",2,0.000166620383226881,0.159598214285714
"acts",1,0.000111080255484588,0.159598214285714
"actual",1,0.000111080255484588,0.159598214285714
"adan",1,0.000111080255484588,0.159598214285714
"add",2,0.000166620383226881,0.159598214285714
"addiction",1,0.000111080255484588,0.159598214285714
"adding",2,0.000166620383226881,0.159598214285714
"additional",4,0.000277700638711469,0.159598214285714
"address",3,0.000222160510969175,0.159598214285714
"adds",1,0.000111080255484588,0.159598214285714
"adjusted",1,0.000111080255484588,0.159598214285714
"adjustments",1,0.000111080255484588,0.159598214285714
"administer",1,0.000111080255484588,0.159598214285714
"administered",1,0.000111080255484588,0.159598214285714
"administration",17,0.000999722299361289,0.159598214285714
"admission",1,0.000111080255484588,0.159598214285714
"adopt",1,0.000111080255484588,0.159598214285714
"adopting",1,0.000111080255484588,0.159598214285714
"adoption",1,0.000111080255484588,0.159598214285714
"adoptions",1,0.000111080255484588,0.159598214285714
"ads",2,0.000166620383226881,0.159598214285714
"adulteryand",1,0.000111080255484588,0.159598214285714
"advance",1,0.000111080255484588,0.159598214285714
"advanced",1,0.000111080255484588,0.159598214285714
"advantage",1,0.000111080255484588,0.159598214285714
"advertising",1,0.000111080255484588,0.159598214285714
"adviser",1,0.000111080255484588,0.159598214285714
"advisers",1,0.000111080255484588,0.159598214285714
"advocacy",2,0.000166620383226881,0.159598214285714
"advocate",1,0.000111080255484588,0.159598214285714
"advocated",3,0.000222160510969175,0.159598214285714
"advocating",1,0.000111080255484588,0.159598214285714
"affairs",1,0.000111080255484588,0.159598214285714
"affairshealth",1,0.000111080255484588,0.159598214285714
"affect",2,0.000166620383226881,0.159598214285714
"affiliates",1,0.000111080255484588,0.159598214285714
"affirmed",1,0.000111080255484588,0.159598214285714
"afford",1,0.000111080255484588,0.159598214285714
"affordability",1,0.000111080255484588,0.159598214285714
"affordable",8,0.000499861149680644,0.159598214285714
"afghanistan",2,0.000166620383226881,0.159598214285714
"afraid",1,0.000111080255484588,0.159598214285714
"africa",1,0.000111080255484588,0.159598214285714
"african",5,0.000333240766453763,0.159598214285714
"age",6,0.000388780894196057,0.159598214285714
"agencies",3,0.000222160510969175,0.159598214285714
"agency",3,0.000222160510969175,0.159598214285714
"agenda",4,0.000277700638711469,0.159598214285714
"agent",1,0.000111080255484588,0.159598214285714
"agents",3,0.000222160510969175,0.159598214285714
"agreed",5,0.000333240766453763,0.159598214285714
"agreement",3,0.000222160510969175,0.159598214285714
"agreements",1,0.000111080255484588,0.159598214285714
"agricultural",1,0.000111080255484588,0.159598214285714
"agriculture",2,0.000166620383226881,0.159598214285714
"aid",4,0.000277700638711469,0.159598214285714
"aids",2,0.000166620383226881,0.159598214285714
"aimed",1,0.000111080255484588,0.159598214285714
"aipac",1,0.000111080255484588,0.159598214285714
"air",4,0.000277700638711469,0.159598214285714
"aircraft",1,0.000111080255484588,0.159598214285714
"airline",1,0.000111080255484588,0.159598214285714
"airplane",1,0.000111080255484588,0.159598214285714
"airplanes",1,0.000111080255484588,0.159598214285714
"airport",1,0.000111080255484588,0.159598214285714
"airports",1,0.000111080255484588,0.159598214285714
"airways",1,0.000111080255484588,0.159598214285714
"alameel",1,0.000111080255484588,0.159598214285714
"alan",1,0.000111080255484588,0.159598214285714
"alaska",1,0.000111080255484588,0.159598214285714
"alcohol",1,0.000111080255484588,0.159598214285714
"alert",1,0.000111080255484588,0.159598214285714
"alex",2,0.000166620383226881,0.159598214285714
"algebra",1,0.000111080255484588,0.159598214285714
"algeria",1,0.000111080255484588,0.159598214285714
"alien",1,0.000111080255484588,0.159598214285714
"aliens",2,0.000166620383226881,0.159598214285714
"alive",1,0.000111080255484588,0.159598214285714
"allen",2,0.000166620383226881,0.159598214285714
"allies",2,0.000166620383226881,0.159598214285714
"allowed",5,0.000333240766453763,0.159598214285714
"allowing",3,0.000222160510969175,0.159598214285714
"altered",1,0.000111080255484588,0.159598214285714
"altogether",1,0.000111080255484588,0.159598214285714
"alwaleed",1,0.000111080255484588,0.159598214285714
"amanda",1,0.000111080255484588,0.159598214285714
"amazing",2,0.000166620383226881,0.159598214285714
"ambassador",2,0.000166620383226881,0.159598214285714
"amendment",7,0.00044432102193835,0.159598214285714
"amendments",1,0.000111080255484588,0.159598214285714
"america",22,0.00127742293807276,0.159598214285714
"american",19,0.00111080255484588,0.159598214285714
"americans",19,0.00111080255484588,0.159598214285714
"americas",3,0.000222160510969175,0.159598214285714
"ammunition",3,0.000222160510969175,0.159598214285714
"amnesty",4,0.000277700638711469,0.159598214285714
"amounted",2,0.000166620383226881,0.159598214285714
"amounts",3,0.000222160510969175,0.159598214285714
"analysts",1,0.000111080255484588,0.159598214285714
"anchor",1,0.000111080255484588,0.159598214285714
"anchors",1,0.000111080255484588,0.159598214285714
"anderson",1,0.000111080255484588,0.159598214285714
"animals",1,0.000111080255484588,0.159598214285714
"animmigrant",1,0.000111080255484588,0.159598214285714
"ann",2,0.000166620383226881,0.159598214285714
"annual",1,0.000111080255484588,0.159598214285714
"anomalies",1,0.000111080255484588,0.159598214285714
"anti",1,0.000111080255484588,0.159598214285714
"antonio",2,0.000166620383226881,0.159598214285714
"ants",1,0.000111080255484588,0.159598214285714
"anybodys",2,0.000166620383226881,0.159598214285714
"apology",1,0.000111080255484588,0.159598214285714
"appeals",1,0.000111080255484588,0.159598214285714
"appeared",1,0.000111080255484588,0.159598214285714
"apple",1,0.000111080255484588,0.159598214285714
"apply",2,0.000166620383226881,0.159598214285714
"appointed",1,0.000111080255484588,0.159598214285714
"apprehensions",1,0.000111080255484588,0.159598214285714
"approach",1,0.000111080255484588,0.159598214285714
"appropriations",1,0.000111080255484588,0.159598214285714
"approval",2,0.000166620383226881,0.159598214285714
"approve",1,0.000111080255484588,0.159598214285714
"approved",4,0.000277700638711469,0.159598214285714
"april",1,0.000111080255484588,0.159598214285714
"arab",2,0.000166620383226881,0.159598214285714
"arabia",4,0.000277700638711469,0.159598214285714
"arena",2,0.000166620383226881,0.159598214285714
"argued",1,0.000111080255484588,0.159598214285714
"arizona",2,0.000166620383226881,0.159598214285714
"arizonas",2,0.000166620383226881,0.159598214285714
"arkansas",2,0.000166620383226881,0.159598214285714
"armor",1,0.000111080255484588,0.159598214285714
"aronbergs",1,0.000111080255484588,0.159598214285714
"arrested",2,0.000166620383226881,0.159598214285714
"arriving",1,0.000111080255484588,0.159598214285714
"art",1,0.000111080255484588,0.159598214285714
"askedthedivision",1,0.000111080255484588,0.159598214285714
"aspects",1,0.000111080255484588,0.159598214285714
"assassinated",1,0.000111080255484588,0.159598214285714
"assault",3,0.000222160510969175,0.159598214285714
"assaulted",2,0.000166620383226881,0.159598214285714
"assembly",1,0.000111080255484588,0.159598214285714
"assertion",1,0.000111080255484588,0.159598214285714
"assessed",1,0.000111080255484588,0.159598214285714
"assistance",2,0.000166620383226881,0.159598214285714
"asst",1,0.000111080255484588,0.159598214285714
"assumption",1,0.000111080255484588,0.159598214285714
"assure",1,0.000111080255484588,0.159598214285714
"athletes",2,0.000166620383226881,0.159598214285714
"atlanta",3,0.000222160510969175,0.159598214285714
"atlantic",1,0.000111080255484588,0.159598214285714
"attack",3,0.000222160510969175,0.159598214285714
"attacked",3,0.000222160510969175,0.159598214285714
"attacking",1,0.000111080255484588,0.159598214285714
"attacks",6,0.000388780894196057,0.159598214285714
"attempt",3,0.000222160510969175,0.159598214285714
"attempts",1,0.000111080255484588,0.159598214285714
"attend",1,0.000111080255484588,0.159598214285714
"attorney",7,0.00044432102193835,0.159598214285714
"auditor",2,0.000166620383226881,0.159598214285714
"austin",6,0.000388780894196057,0.159598214285714
"austinincluding",1,0.000111080255484588,0.159598214285714
"authored",2,0.000166620383226881,0.159598214285714
"auto",2,0.000166620383226881,0.159598214285714
"automatic",1,0.000111080255484588,0.159598214285714
"average",15,0.000888642043876701,0.159598214285714
"averaged",2,0.000166620383226881,0.159598214285714
"averaging",1,0.000111080255484588,0.159598214285714
"avoid",1,0.000111080255484588,0.159598214285714
"avowed",1,0.000111080255484588,0.159598214285714
"babies",1,0.000111080255484588,0.159598214285714
"baby",3,0.000222160510969175,0.159598214285714
"background",5,0.000333240766453763,0.159598214285714
"backlog",1,0.000111080255484588,0.159598214285714
"bad",4,0.000277700638711469,0.159598214285714
"bailout",2,0.000166620383226881,0.159598214285714
"bailouts",3,0.000222160510969175,0.159598214285714
"bain",2,0.000166620383226881,0.159598214285714
"balance",5,0.000333240766453763,0.159598214285714
"balanced",2,0.000166620383226881,0.159598214285714
"baldwin",4,0.000277700638711469,0.159598214285714
"ballesteros",1,0.000111080255484588,0.159598214285714
"ballot",2,0.000166620383226881,0.159598214285714
"ban",7,0.00044432102193835,0.159598214285714
"bank",7,0.00044432102193835,0.159598214285714
"bankruptcy",1,0.000111080255484588,0.159598214285714
"banks",4,0.000277700638711469,0.159598214285714
"banned",1,0.000111080255484588,0.159598214285714
"banning",1,0.000111080255484588,0.159598214285714
"bans",2,0.000166620383226881,0.159598214285714
"barack",31,0.0017772840877534,0.159598214285714
"barbara",2,0.000166620383226881,0.159598214285714
"barely",2,0.000166620383226881,0.159598214285714
"bargained",1,0.000111080255484588,0.159598214285714
"bargaining",1,0.000111080255484588,0.159598214285714
"barnes",3,0.000222160510969175,0.159598214285714
"barracks",1,0.000111080255484588,0.159598214285714
"barred",1,0.000111080255484588,0.159598214285714
"barrels",1,0.000111080255484588,0.159598214285714
"barrett",6,0.000388780894196057,0.159598214285714
"barrow",2,0.000166620383226881,0.159598214285714
"barrows",1,0.000111080255484588,0.159598214285714
"barton",1,0.000111080255484588,0.159598214285714
"base",1,0.000111080255484588,0.159598214285714
"based",1,0.000111080255484588,0.159598214285714
"bases",1,0.000111080255484588,0.159598214285714
"basic",2,0.000166620383226881,0.159598214285714
"basically",1,0.000111080255484588,0.159598214285714
"basis",1,0.000111080255484588,0.159598214285714
"basketball",1,0.000111080255484588,0.159598214285714
"basra",1,0.000111080255484588,0.159598214285714
"bass",1,0.000111080255484588,0.159598214285714
"battery",1,0.000111080255484588,0.159598214285714
"battlefield",1,0.000111080255484588,0.159598214285714
"bay",3,0.000222160510969175,0.159598214285714
"bear",1,0.000111080255484588,0.159598214285714
"beard",1,0.000111080255484588,0.159598214285714
"beat",1,0.000111080255484588,0.159598214285714
"beating",2,0.000166620383226881,0.159598214285714
"beds",1,0.000111080255484588,0.159598214285714
"beenon",1,0.000111080255484588,0.159598214285714
"beer",2,0.000166620383226881,0.159598214285714
"begging",1,0.000111080255484588,0.159598214285714
"begich",2,0.000166620383226881,0.159598214285714
"beirut",1,0.000111080255484588,0.159598214285714
"beliefs",3,0.000222160510969175,0.159598214285714
"ben",1,0.000111080255484588,0.159598214285714
"beneficiaries",1,0.000111080255484588,0.159598214285714
"benefit",1,0.000111080255484588,0.159598214285714
"benefits",10,0.000610941405165232,0.159598214285714
"benefitted",1,0.000111080255484588,0.159598214285714
"benghazi",8,0.000499861149680644,0.159598214285714
"bennet",1,0.000111080255484588,0.159598214285714
"bernanke",1,0.000111080255484588,0.159598214285714
"bernie",3,0.000222160510969175,0.159598214285714
"berry",1,0.000111080255484588,0.159598214285714
"betterway",1,0.000111080255484588,0.159598214285714
"betty",3,0.000222160510969175,0.159598214285714
"bevin",1,0.000111080255484588,0.159598214285714
"bible",1,0.000111080255484588,0.159598214285714
"bid",2,0.000166620383226881,0.159598214285714
"bidder",1,0.000111080255484588,0.159598214285714
"bidding",2,0.000166620383226881,0.159598214285714
"biden",3,0.000222160510969175,0.159598214285714
"biennium",1,0.000111080255484588,0.159598214285714
"bigger",1,0.000111080255484588,0.159598214285714
"biggest",4,0.000277700638711469,0.159598214285714
"billed",1,0.000111080255484588,0.159598214285714
"billionaire",1,0.000111080255484588,0.159598214285714
"billions",5,0.000333240766453763,0.159598214285714
"bills",8,0.000499861149680644,0.159598214285714
"bin",1,0.000111080255484588,0.159598214285714
"bipartisan",7,0.00044432102193835,0.159598214285714
"bird",1,0.000111080255484588,0.159598214285714
"birth",6,0.000388780894196057,0.159598214285714
"birthright",1,0.000111080255484588,0.159598214285714
"bisexual",1,0.000111080255484588,0.159598214285714
"black",1,0.000111080255484588,0.159598214285714
"blake",1,0.000111080255484588,0.159598214285714
"blamed",1,0.000111080255484588,0.159598214285714
"blames",1,0.000111080255484588,0.159598214285714
"blasio",1,0.000111080255484588,0.159598214285714
"bloated",1,0.000111080255484588,0.159598214285714
"block",1,0.000111080255484588,0.159598214285714
"blocked",1,0.000111080255484588,0.159598214285714
"blocking",2,0.000166620383226881,0.159598214285714
"blocks",1,0.000111080255484588,0.159598214285714
"blondwomen",1,0.000111080255484588,0.159598214285714
"bloomberg",1,0.000111080255484588,0.159598214285714
"blowing",1,0.000111080255484588,0.159598214285714
"board",6,0.000388780894196057,0.159598214285714
"bob",2,0.000166620383226881,0.159598214285714
"bobby",1,0.000111080255484588,0.159598214285714
"boccieri",1,0.000111080255484588,0.159598214285714
"bodies",1,0.000111080255484588,0.159598214285714
"body",2,0.000166620383226881,0.159598214285714
"boehner",1,0.000111080255484588,0.159598214285714
"bombing",1,0.000111080255484588,0.159598214285714
"bond",1,0.000111080255484588,0.159598214285714
"bonditold",1,0.000111080255484588,0.159598214285714
"bonus",1,0.000111080255484588,0.159598214285714
"book",4,0.000277700638711469,0.159598214285714
"boost",1,0.000111080255484588,0.159598214285714
"boosts",1,0.000111080255484588,0.159598214285714
"border",10,0.000610941405165232,0.159598214285714
"borders",1,0.000111080255484588,0.159598214285714
"born",3,0.000222160510969175,0.159598214285714
"borrow",2,0.000166620383226881,0.159598214285714
"borrowed",2,0.000166620383226881,0.159598214285714
"borrowing",1,0.000111080255484588,0.159598214285714
"bosnia",1,0.000111080255484588,0.159598214285714
"boston",1,0.000111080255484588,0.159598214285714
"boswell",1,0.000111080255484588,0.159598214285714
"bought",1,0.000111080255484588,0.159598214285714
"boundaries",1,0.000111080255484588,0.159598214285714
"bowl",1,0.000111080255484588,0.159598214285714
"bowles",2,0.000166620383226881,0.159598214285714
"boxer",1,0.000111080255484588,0.159598214285714
"boycotts",1,0.000111080255484588,0.159598214285714
"boyd",1,0.000111080255484588,0.159598214285714
"bp",2,0.000166620383226881,0.159598214285714
"bps",1,0.000111080255484588,0.159598214285714
"brad",1,0.000111080255484588,0.159598214285714
"brags",1,0.000111080255484588,0.159598214285714
"brain",1,0.000111080255484588,0.159598214285714
"braley",2,0.000166620383226881,0.159598214285714
"branchesof",1,0.000111080255484588,0.159598214285714
"brand",1,0.000111080255484588,0.159598214285714
"brat",1,0.000111080255484588,0.159598214285714
"braves",1,0.000111080255484588,0.159598214285714
"break",3,0.000222160510969175,0.159598214285714
"breaks",6,0.000388780894196057,0.159598214285714
"breath",1,0.000111080255484588,0.159598214285714
"brian",1,0.000111080255484588,0.159598214285714
"bridge",1,0.000111080255484588,0.159598214285714
"brilliant",1,0.000111080255484588,0.159598214285714
"bring",7,0.00044432102193835,0.159598214285714
"britains",1,0.000111080255484588,0.159598214285714
"brochures",1,0.000111080255484588,0.159598214285714
"broke",2,0.000166620383226881,0.159598214285714
